NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT11
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-30,,,,,0.26,2.0,53.0,42.0,27.0,34.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-31,,,,,0.13,1.0,52.0,51.0,31.0,34.0,,1.0,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-01,,,,,0.13,1.0,52.0,49.0,31.0,33.0,,1.0,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-02,,,,,0.09,0.0,50.0,47.0,34.0,38.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-03,,,,,0.05,0.0,47.0,50.0,30.0,40.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-04,,,,,0.0,0.0,45.0,57.0,41.0,47.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-05,,,,,0.0,0.0,42.0,57.0,37.0,46.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-06,,,,,0.0,0.0,38.0,56.0,36.0,39.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-07,,,,,0.0,0.0,34.0,46.0,35.0,37.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-08,,,,,0.0,0.0,32.0,59.0,37.0,40.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-09,,,,,0.0,0.0,30.0,65.0,40.0,44.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-10,,,,,0.0,0.0,27.0,68.0,42.0,47.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-11,,,,,0.0,0.0,24.0,70.0,44.0,48.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-12,,,,,0.0,0.0,20.0,68.0,48.0,53.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-13,,,,,0.0,0.0,17.0,62.0,41.0,44.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-14,,,,,0.0,0.0,15.0,64.0,44.0,48.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-15,,,,,0.0,0.0,12.0,53.0,30.0,32.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-16,,,,,0.0,0.0,9.0,53.0,33.0,39.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-17,,,,,0.0,0.0,3.0,63.0,37.0,48.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-18,,,,,0.0,0.0,0.0,72.0,45.0,52.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-19,,,,,0.0,0.0,0.0,72.0,46.0,49.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-20,,,,,0.0,0.0,0.0,69.0,46.0,51.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-21,,,,,0.0,0.0,0.0,72.0,47.0,51.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-22,,,,,0.0,0.0,0.0,69.0,45.0,49.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-23,,,,,0.0,0.0,0.0,71.0,49.0,56.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-24,,,,,0.0,0.0,0.0,64.0,43.0,51.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-25,,,,,0.0,0.0,0.0,68.0,48.0,55.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-26,,,,,0.0,0.0,0.0,74.0,53.0,58.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-27,,,,,0.0,0.0,0.0,73.0,34.0,38.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-28,,,,,0.0,0.0,0.0,60.0,35.0,50.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-29,,,,,0.0,0.0,0.0,72.0,49.0,62.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-06-30,,,,,0.0,0.0,0.0,74.0,54.0,60.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-07-01,,,,,0.05,0.0,0.0,72.0,45.0,49.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-07-02,,,,,0.89,0.0,0.0,68.0,47.0,48.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-07-03,,,,,0.0,0.0,0.0,67.0,47.0,48.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-07-04,,,,,0.41,0.0,0.0,62.0,43.0,46.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-07-05,,,,,0.0,0.0,0.0,70.0,48.0,52.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-07-06,,,,,0.0,0.0,0.0,76.0,49.0,51.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-07-07,,,,,0.0,0.0,0.0,75.0,51.0,57.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-07-08,,,,,0.11,0.0,0.0,68.0,46.0,50.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-07-09,,,,,0.0,0.0,0.0,64.0,47.0,53.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-07-10,,,,,0.0,0.0,0.0,71.0,50.0,57.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-07-11,,,,,0.0,0.0,0.0,72.0,53.0,59.0,,,,,,
